"","k","LossSemiDP","LossNaive"
"1",2,15.9642700788209,81.4300714297804
"2",3,41.2822597129091,104.192848316251
"3",4,50.7664662186772,143.622670777473
"4",5,70.1531924050756,164.267995772947
"5",6,84.883184838645,194.070350112052
"6",7,96.4031337169844,211.467124886115
"7",8,107.466816334698,245.594377201223
"8",9,118.872359151845,286.304121165923
"9",10,131.874271906024,311.008958987377
