"config","J","N","mu","method","n_reps","mean_l2_mean","mean_l2_se","mean_sq_mean","mean_sq_se","min_count","max_count","delta_s_semi","delta_n_1","delta_s_1","mu_n","mu_s","sigma_n","sigma_s"
"balanced",10,500,1.5,"Ordinary baseline: noisy counts and sums",30,0.0593540572487005,0.00267026056060124,0.00372968256426558,0.000337781122005656,50,50,2,1.4142135623731,1.4142135623731,0.530330085889911,0.530330085889911,2.66666666666667,2.66666666666667
"balanced",10,500,1.5,"Semi-DP: noisy sums, exact counts",30,0.0259302835278917,0.00108768981623803,0.000706688608790941,6.09254188554573e-05,50,50,2,NA,NA,NA,NA,NA,1.33333333333333
"balanced",10,500,2,"Ordinary baseline: noisy counts and sums",30,0.045375784651811,0.00202747114539427,0.00217817037088431,0.000185146323836851,50,50,2,1.4142135623731,1.4142135623731,0.707106781186547,0.707106781186547,2,2
"balanced",10,500,2,"Semi-DP: noisy sums, exact counts",30,0.0202670501058611,0.000808865419748815,0.000429726954744181,3.47776604707991e-05,50,50,2,NA,NA,NA,NA,NA,1
"balanced",10,500,3,"Ordinary baseline: noisy counts and sums",30,0.0292818200779605,0.00154277190473309,0.000926449196429033,9.72399550401669e-05,50,50,2,1.4142135623731,1.4142135623731,1.06066017177982,1.06066017177982,1.33333333333333,1.33333333333333
"balanced",10,500,3,"Semi-DP: noisy sums, exact counts",30,0.0121647488775451,0.000457750010804311,0.000154057632353085,1.17078072621221e-05,50,50,2,NA,NA,NA,NA,NA,0.666666666666667
"balanced",10,500,4,"Ordinary baseline: noisy counts and sums",30,0.0222783742541411,0.00110891767101846,0.000531987213039392,4.82619104775458e-05,50,50,2,1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731,1,1
"balanced",10,500,4,"Semi-DP: noisy sums, exact counts",30,0.00960784505307008,0.000377554876894318,9.64445694307371e-05,7.21285454847306e-06,50,50,2,NA,NA,NA,NA,NA,0.5
"imbalanced",10,500,0.25,"Ordinary baseline: noisy counts and sums",30,0.342242929465417,0.00906169026293079,0.119511535451288,0.00618587804823945,5,115,2,1.4142135623731,1.4142135623731,0.0883883476483184,0.0883883476483184,16,16
"imbalanced",10,500,0.25,"Semi-DP: noisy sums, exact counts",30,0.258830494216369,0.0122307070120885,0.0713313403627408,0.0063583198066143,5,115,2,NA,NA,NA,NA,NA,8
"imbalanced",10,500,0.4,"Ordinary baseline: noisy counts and sums",30,0.306001826850391,0.0143202058382932,0.0995840985980584,0.00916151346284546,5,115,2,1.4142135623731,1.4142135623731,0.14142135623731,0.14142135623731,10,10
"imbalanced",10,500,0.4,"Semi-DP: noisy sums, exact counts",30,0.189577597027691,0.012044927125892,0.0401469931093669,0.00487890833587024,5,115,2,NA,NA,NA,NA,NA,5
"imbalanced",10,500,0.6,"Ordinary baseline: noisy counts and sums",30,0.24770930814194,0.0101917979048333,0.0643722109316146,0.00466390009443522,5,115,2,1.4142135623731,1.4142135623731,0.212132034355964,0.212132034355964,6.66666666666667,6.66666666666667
"imbalanced",10,500,0.6,"Semi-DP: noisy sums, exact counts",30,0.145024946993449,0.00955351700114332,0.0236790561760956,0.00323188255669697,5,115,2,NA,NA,NA,NA,NA,3.33333333333333
"imbalanced",10,500,0.8,"Ordinary baseline: noisy counts and sums",30,0.221251734784429,0.0161550739023093,0.0565209361160026,0.00748541154382656,5,115,2,1.4142135623731,1.4142135623731,0.282842712474619,0.282842712474619,5,5
"imbalanced",10,500,0.8,"Semi-DP: noisy sums, exact counts",30,0.142083442579858,0.0121535022196232,0.024471225525213,0.00396072737023574,5,115,2,NA,NA,NA,NA,NA,2.5
"imbalanced",10,500,1,"Ordinary baseline: noisy counts and sums",30,0.208450476464108,0.0127177380886399,0.0481420861387596,0.00552828931494056,5,115,2,1.4142135623731,1.4142135623731,0.353553390593274,0.353553390593274,4,4
"imbalanced",10,500,1,"Semi-DP: noisy sums, exact counts",30,0.107286302459436,0.00748944180761812,0.0131370111145188,0.0018155158647145,5,115,2,NA,NA,NA,NA,NA,2
"imbalanced",10,500,1.5,"Ordinary baseline: noisy counts and sums",30,0.137209604373698,0.011365321984066,0.0225724213026302,0.00383074499321204,5,115,2,1.4142135623731,1.4142135623731,0.530330085889911,0.530330085889911,2.66666666666667,2.66666666666667
"imbalanced",10,500,1.5,"Semi-DP: noisy sums, exact counts",30,0.075654970854188,0.00506399347506675,0.00646735148249808,0.000856768898463509,5,115,2,NA,NA,NA,NA,NA,1.33333333333333
"imbalanced",10,500,2,"Ordinary baseline: noisy counts and sums",30,0.121824986615756,0.0109031468188391,0.0182888070699708,0.00303960568050093,5,115,2,1.4142135623731,1.4142135623731,0.707106781186547,0.707106781186547,2,2
"imbalanced",10,500,2,"Semi-DP: noisy sums, exact counts",30,0.0671494490496575,0.0070771633502548,0.00596154949917205,0.00121374966336087,5,115,2,NA,NA,NA,NA,NA,1
"imbalanced",10,500,3,"Ordinary baseline: noisy counts and sums",30,0.0866355249024822,0.00873715296700367,0.00971951159222443,0.00229780749585095,5,115,2,1.4142135623731,1.4142135623731,1.06066017177982,1.06066017177982,1.33333333333333,1.33333333333333
"imbalanced",10,500,3,"Semi-DP: noisy sums, exact counts",30,0.0341419160176071,0.00265576032337862,0.00137020925331507,0.000221544544851111,5,115,2,NA,NA,NA,NA,NA,0.666666666666667
"imbalanced",10,500,4,"Ordinary baseline: noisy counts and sums",30,0.0597704980445314,0.00528902718038941,0.00438375288342337,0.000733905021093335,5,115,2,1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731,1,1
"imbalanced",10,500,4,"Semi-DP: noisy sums, exact counts",30,0.0341514926309716,0.00310646541358459,0.00144617814253143,0.000269363344278859,5,115,2,NA,NA,NA,NA,NA,0.5
