"","k","LossSemiDP","LossNaive"
"1",2,14.4030427966101,84.8194463190775
"2",3,42.3371000128691,111.290295048961
"3",4,56.7128696466817,134.258860408583
"4",5,69.9577732882644,162.452493258007
"5",6,85.1804394766488,193.475852859548
"6",7,95.8395596603741,209.925497629109
"7",8,106.780245810839,244.740400999392
"8",9,118.013962686842,285.643706850113
"9",10,131.048259047345,310.47173416498
